"driven_byowner_id","driven_byregistered_carslicense_plate","charging_pointspoint_id","charging_pointscharging_stationsstation_id","connectionTime","disconnectTime","kWhDelivered","protocol","payment","cost","vehicle_type","rating"
10,"ZTX9534",3,1,2018-05-26 17:54:41,2018-05-26 19:30:41,80.00,"fast(50kW)","card",12.48,bev,2
27,"ZZN1567",19,5,2018-03-27 01:32:25,2018-03-27 02:34:25,51.90,"fast(50kW)","card",8.06,bev,NULL
74,"ZEH3972",10,3,2018-08-19 07:49:49,2018-08-19 09:04:49,63.12,"fast(50kW)","card",9.47,bev,4
14,"IHI2499",6,2,2018-03-17 08:22:35,2018-03-17 09:47:35,71.28,"fast(50kW)","card",10.64,bev,4
80,"IBN1216",12,3,2018-06-21 09:13:12,2018-06-21 12:18:12,62.00,"normal(20kW)","card",7.71,bev,2
96,"IOO8896",1,1,2018-07-21 01:04:36,2018-07-21 02:35:36,76.50,"fast(50kW)","card",11.48,bev,NULL
39,"IYE6331",12,3,2018-02-20 20:59:12,2018-02-20 22:10:12,59.50,"fast(50kW)","card",8.88,bev,2
76,"ZMY1345",15,4,2018-11-06 10:02:08,2018-11-06 11:22:08,67.20,"fast(50kW)","card",10.01,bev,3
72,"IEZ6922",6,2,2018-06-13 02:24:54,2018-06-13 04:54:54,50.22,"normal(20kW)","card",6.25,bev,4
55,"IHA5721",4,1,2018-07-25 13:50:23,2018-07-25 15:02:23,60.00,"fast(50kW)","card",9.23,bev,2
33,"IXX9849",7,2,2018-03-08 23:45:43,2018-03-09 00:45:43,50.22,"fast(50kW)","card",7.62,bev,4
12,"IZT9712",20,5,2018-10-04 21:11:32,2018-10-04 21:53:32,35.00,"fast(50kW)","card",5.32,bev,NULL
50,"IET8695",20,5,2018-12-22 21:14:50,2018-12-22 23:50:50,52.20,"normal(20kW)","card",6.61,bev,NULL
63,"IOK6523",9,3,2018-09-18 13:10:20,2018-09-18 14:20:20,58.59,"fast(50kW)","card",8.91,bev,4
19,"IET8695",3,1,2018-03-15 19:26:58,2018-03-15 22:02:58,52.20,"normal(20kW)","card",6.79,bev,NULL
86,"ZIM4642",17,5,2018-12-27 16:27:40,2018-12-27 18:57:40,50.00,"normal(20kW)","card",6.32,bev,5
49,"ZKO9198",6,2,2018-08-05 12:09:22,2018-08-05 16:44:22,92.00,"normal(20kW)","card",11.44,bev,1
53,"IYE6331",3,1,2018-02-28 07:20:02,2018-02-28 08:21:02,51.00,"fast(50kW)","card",7.96,bev,NULL
43,"IPA4613",8,2,2018-08-07 16:40:22,2018-08-07 17:36:22,47.34,"fast(50kW)","card",7.05,bev,3
36,"INM2554",18,5,2018-10-07 06:44:08,2018-10-07 08:44:08,100.00,"fast(50kW)","card",14.58,bev,NULL
75,"III9582",1,1,2018-01-13 22:58:25,2018-01-14 03:33:25,92.00,"normal(20kW)","card",11.50,bev,5
5,"ITT7255",8,2,2018-02-28 21:08:53,2018-02-28 22:41:53,77.85,"fast(50kW)","card",11.59,bev,4
27,"ZZN1567",10,3,2018-02-28 07:24:55,2018-02-28 08:15:55,43.25,"fast(50kW)","card",6.49,bev,5
65,"ZME5154",3,1,2018-07-27 06:37:57,2018-07-27 09:50:57,64.40,"normal(20kW)","card",8.37,bev,NULL
82,"IBK6254",7,2,2018-02-07 21:36:05,2018-02-08 01:06:05,70.00,"normal(20kW)","card",8.85,bev,NULL
5,"IEA3797",20,5,2018-08-05 00:35:53,2018-08-05 02:15:53,83.70,"fast(50kW)","card",12.73,bev,NULL
13,"IZT9712",19,5,2018-02-17 20:23:27,2018-02-17 23:32:27,63.00,"normal(20kW)","card",8.15,bev,NULL
21,"IPA3793",5,2,2018-08-12 15:02:54,2018-08-12 15:49:54,39.45,"fast(50kW)","card",5.75,bev,NULL
28,"ZNM4272",18,5,2018-06-15 18:14:25,2018-06-15 19:49:25,79.20,"fast(50kW)","card",11.55,bev,NULL
66,"ZKB5316",7,2,2018-02-25 05:14:36,2018-02-25 06:42:36,73.60,"fast(50kW)","card",11.17,bev,NULL
39,"IYE6331",14,4,2018-06-22 13:21:55,2018-06-22 15:28:55,42.50,"normal(20kW)","card",5.50,bev,3
35,"IHA5721",12,3,2018-01-30 00:13:20,2018-01-30 03:43:20,70.00,"normal(20kW)","card",8.71,bev,NULL
84,"ZXP5492",10,3,2018-10-22 08:35:29,2018-10-22 12:08:29,71.28,"normal(20kW)","card",8.91,bev,NULL
91,"ZOT9399",13,4,2018-10-17 22:25:33,2018-10-17 23:55:33,75.60,"fast(50kW)","card",11.79,bev,2
76,"ZMY1345",12,3,2018-09-11 16:01:03,2018-09-11 17:41:03,84.00,"fast(50kW)","card",12.54,bev,2
20,"IYI7188",3,1,2018-02-08 11:21:29,2018-02-08 12:11:29,41.85,"fast(50kW)","card",6.53,bev,NULL
69,"ZME5154",2,1,2018-08-04 05:52:24,2018-08-04 07:42:24,92.00,"fast(50kW)","card",13.41,bev,NULL
36,"INM2554",6,2,2018-08-24 19:06:18,2018-08-24 23:36:18,90.00,"normal(20kW)","card",11.20,bev,NULL
28,"ZNM4272",18,5,2018-06-03 18:23:10,2018-06-03 22:20:10,79.20,"normal(20kW)","card",9.62,bev,NULL
15,"IEO4912",4,1,2018-12-20 07:44:18,2018-12-20 10:14:18,50.00,"normal(20kW)","card",6.41,bev,NULL
59,"ZYM4945",8,2,2018-04-15 02:27:24,2018-04-15 03:34:24,56.00,"fast(50kW)","card",8.34,bev,4
9,"IYX1897",5,2,2018-03-17 17:22:59,2018-03-17 18:32:59,58.59,"fast(50kW)","card",8.54,bev,5
27,"ZZN1567",4,1,2018-11-02 01:03:12,2018-11-02 02:15:12,60.55,"fast(50kW)","card",9.32,bev,NULL
2,"ZYE1564",10,3,2018-10-23 23:47:20,2018-10-24 03:08:20,67.20,"normal(20kW)","card",8.40,bev,4
8,"IKB2184",8,2,2018-04-21 17:03:09,2018-04-21 17:53:09,41.85,"fast(50kW)","card",6.23,bev,NULL
53,"IYE6331",14,4,2018-06-23 02:08:46,2018-06-23 05:06:46,59.50,"normal(20kW)","card",7.70,bev,NULL
36,"INM2554",9,3,2018-05-05 00:23:35,2018-05-05 02:53:35,50.00,"normal(20kW)","card",6.34,bev,5
12,"IZT9712",14,4,2018-04-12 01:46:24,2018-04-12 04:55:24,63.00,"normal(20kW)","card",8.15,bev,3
19,"IET8695",20,5,2018-02-11 08:35:24,2018-02-11 09:44:24,58.00,"fast(50kW)","card",8.82,bev,NULL
82,"IBK6254",1,1,2018-01-25 02:26:13,2018-01-25 05:56:13,70.00,"normal(20kW)","card",8.75,bev,5
98,"ZAH5167",14,4,2018-06-10 00:41:34,2018-06-10 02:02:34,68.00,"fast(50kW)","card",10.56,bev,5
87,"IYI7188",4,1,2018-04-16 14:21:45,2018-04-16 18:32:45,83.70,"normal(20kW)","card",10.73,bev,NULL
71,"ZXE6396",13,4,2018-11-28 21:33:56,2018-11-28 23:31:56,39.45,"normal(20kW)","card",5.13,bev,NULL
76,"ZMY1345",7,2,2018-08-19 23:36:28,2018-08-20 00:26:28,42.00,"fast(50kW)","card",6.38,bev,4
19,"IOK6523",4,1,2018-07-26 02:35:41,2018-07-26 05:30:41,58.59,"normal(20kW)","card",7.51,bev,5
32,"ZTE2784",6,2,2018-02-25 10:33:14,2018-02-25 14:13:14,73.60,"normal(20kW)","card",9.16,bev,NULL
49,"ZKO9198",17,5,2018-03-17 00:59:31,2018-03-17 02:05:31,55.20,"fast(50kW)","card",8.38,bev,NULL
88,"ZHN8664",1,1,2018-10-18 02:09:02,2018-10-18 05:04:02,58.59,"normal(20kW)","card",7.32,bev,5
61,"ZMA6229",2,1,2018-12-15 03:09:37,2018-12-15 04:53:37,34.80,"normal(20kW)","card",4.23,bev,1
3,"IBN7239",17,5,2018-04-04 18:39:32,2018-04-04 19:59:32,67.20,"fast(50kW)","card",10.20,bev,3
71,"ZXE6396",14,4,2018-05-25 07:01:55,2018-05-25 08:59:55,39.45,"normal(20kW)","card",5.10,bev,1
11,"IKP3196",9,3,2018-05-15 01:48:41,2018-05-15 02:30:41,35.00,"fast(50kW)","card",5.32,bev,NULL
28,"ZNM4272",3,1,2018-11-09 07:25:14,2018-11-09 10:11:14,55.44,"normal(20kW)","card",7.21,bev,NULL
21,"IPA3793",8,2,2018-09-25 04:29:30,2018-09-25 05:44:30,63.12,"fast(50kW)","card",9.40,bev,1
33,"IXX9849",19,5,2018-04-10 15:04:21,2018-04-10 18:24:21,66.96,"normal(20kW)","card",8.66,bev,5
61,"ZMA6229",14,4,2018-10-01 20:46:21,2018-10-01 23:40:21,58.00,"normal(20kW)","card",7.51,bev,NULL
62,"ZPP5665",4,1,2018-11-21 12:01:45,2018-11-21 13:29:45,73.60,"fast(50kW)","card",11.32,bev,NULL
36,"INM2554",5,2,2018-07-23 11:07:21,2018-07-23 15:37:21,90.00,"normal(20kW)","card",10.94,bev,NULL
34,"IAH3712",20,5,2018-05-28 02:53:56,2018-05-28 05:28:56,51.90,"normal(20kW)","card",6.58,bev,NULL
19,"IET8695",8,2,2018-04-11 19:54:59,2018-04-11 21:55:59,40.60,"normal(20kW)","card",5.04,bev,3
43,"IPA4613",6,2,2018-11-12 06:06:19,2018-11-12 07:21:19,63.12,"fast(50kW)","card",9.42,bev,1
23,"INX7759",13,4,2018-07-10 05:25:27,2018-07-10 09:18:27,77.85,"normal(20kW)","card",10.12,bev,2
50,"IET8695",3,1,2018-07-30 16:48:22,2018-07-30 18:49:22,40.60,"normal(20kW)","card",5.28,bev,NULL
26,"ZPH8993",7,2,2018-05-15 02:37:28,2018-05-15 05:24:28,56.00,"normal(20kW)","card",7.08,bev,NULL
7,"ZIT5295",9,3,2018-11-13 16:20:40,2018-11-13 17:43:40,70.00,"fast(50kW)","card",10.64,bev,5
38,"ZBN8963",6,2,2018-07-21 02:06:08,2018-07-21 03:04:08,49.00,"fast(50kW)","card",7.31,bev,5
3,"ZXN4585",20,5,2018-04-07 10:30:05,2018-04-07 11:42:05,60.00,"fast(50kW)","card",9.12,bev,2
6,"ITT7255",17,5,2018-07-25 06:53:05,2018-07-25 08:16:05,69.20,"fast(50kW)","card",10.50,bev,NULL
91,"ZOT9399",4,1,2018-10-11 18:24:31,2018-10-11 19:14:31,42.00,"fast(50kW)","card",6.46,bev,3
6,"ITT7255",5,2,2018-09-20 00:28:21,2018-09-20 01:30:21,51.90,"fast(50kW)","card",7.57,bev,2
28,"IBK8636",1,1,2018-05-09 09:00:14,2018-05-09 11:30:14,50.00,"normal(20kW)","card",6.25,bev,3
82,"IBK6254",6,2,2018-02-22 16:10:55,2018-02-22 17:46:55,80.00,"fast(50kW)","card",11.94,bev,5
68,"ZTK3647",16,4,2018-04-26 13:21:32,2018-04-26 14:08:32,39.60,"fast(50kW)","card",5.94,bev,5
28,"IBK8636",15,4,2018-07-07 22:32:42,2018-07-08 01:02:42,50.00,"normal(20kW)","card",6.20,bev,NULL
17,"ZYM4945",15,4,2018-11-15 20:54:12,2018-11-15 23:21:12,49.00,"normal(20kW)","card",6.08,bev,NULL
9,"IYX1897",2,1,2018-10-02 18:30:23,2018-10-02 19:50:23,66.96,"fast(50kW)","card",9.76,bev,2
93,"ZAH5167",17,5,2018-07-16 00:35:48,2018-07-16 03:33:48,59.50,"normal(20kW)","card",7.53,bev,NULL
71,"ZXE6396",18,5,2018-12-29 17:46:06,2018-12-29 20:31:06,55.23,"normal(20kW)","card",6.71,bev,NULL
44,"ZNM4272",7,2,2018-05-06 15:41:43,2018-05-06 16:47:43,55.44,"fast(50kW)","card",8.42,bev,NULL
96,"IOO8896",13,4,2018-04-03 10:16:40,2018-04-03 11:27:40,59.50,"fast(50kW)","card",9.28,bev,NULL
15,"IEO4912",4,1,2018-05-08 21:09:03,2018-05-09 01:09:03,80.00,"normal(20kW)","card",10.26,bev,5
5,"ITT7255",6,2,2018-05-09 02:31:17,2018-05-09 05:06:17,51.90,"normal(20kW)","card",6.46,bev,NULL
49,"ZKO9198",9,3,2018-05-25 22:57:43,2018-05-26 01:42:43,55.20,"normal(20kW)","card",6.99,bev,NULL
73,"ITK8995",7,2,2018-11-02 08:14:29,2018-11-02 13:14:29,100.00,"normal(20kW)","card",12.65,bev,NULL
1,"ZXY1274",15,4,2018-11-22 20:30:01,2018-11-22 22:13:01,86.50,"fast(50kW)","card",12.88,bev,NULL
63,"IOK6523",8,2,2018-01-18 06:03:17,2018-01-18 08:08:17,41.85,"normal(20kW)","card",5.19,bev,NULL
1,"ZXY1274",19,5,2018-07-01 06:18:06,2018-07-01 08:01:06,86.50,"fast(50kW)","card",13.43,bev,3
55,"IHA5721",20,5,2018-08-21 06:30:32,2018-08-21 07:53:32,70.00,"fast(50kW)","card",10.64,bev,2
72,"IEZ6922",20,5,2018-07-22 17:10:54,2018-07-22 18:10:54,50.22,"fast(50kW)","card",7.64,bev,4
11,"IKP3196",13,4,2018-02-28 05:35:26,2018-02-28 06:50:26,63.00,"fast(50kW)","card",9.83,bev,2
3,"IBN7239",14,4,2018-02-02 22:55:10,2018-02-03 01:51:10,58.80,"normal(20kW)","card",7.61,bev,5
84,"ZXP5492",7,2,2018-09-02 08:12:07,2018-09-02 12:09:07,79.20,"normal(20kW)","card",10.02,bev,NULL
43,"IPA4613",2,1,2018-12-29 07:21:09,2018-12-29 11:17:09,78.90,"normal(20kW)","card",9.59,bev,NULL
99,"IHI2499",13,4,2018-07-21 11:20:54,2018-07-21 12:36:54,63.36,"fast(50kW)","card",9.88,bev,NULL
9,"IYX1897",8,2,2018-08-26 04:47:59,2018-08-26 06:52:59,41.85,"normal(20kW)","card",5.19,bev,5
83,"ZBN8963",17,5,2018-01-25 16:57:25,2018-01-25 19:44:25,56.00,"normal(20kW)","card",7.08,bev,5
96,"IOO8896",17,5,2018-03-10 11:37:13,2018-03-10 14:10:13,51.00,"normal(20kW)","card",6.45,bev,NULL
54,"ZXZ5659",7,2,2018-03-11 18:59:18,2018-03-11 22:48:18,76.50,"normal(20kW)","card",9.68,bev,1
96,"IOO8896",12,3,2018-08-10 21:23:10,2018-08-11 00:21:10,59.50,"normal(20kW)","card",7.40,bev,5
14,"IHI2499",12,3,2018-05-26 11:03:36,2018-05-26 12:19:36,63.36,"fast(50kW)","card",9.46,bev,NULL
59,"ZYM4945",14,4,2018-07-12 04:35:44,2018-07-12 07:22:44,56.00,"normal(20kW)","card",7.25,bev,5
11,"IKP3196",16,4,2018-05-15 14:30:01,2018-05-15 15:45:01,63.00,"fast(50kW)","card",9.45,bev,NULL
5,"ITT7255",18,5,2018-06-15 00:16:18,2018-06-15 03:43:18,69.20,"normal(20kW)","card",8.41,bev,4
79,"ZXZ5659",20,5,2018-10-20 14:16:33,2018-10-20 15:58:33,85.00,"fast(50kW)","card",12.92,bev,4
96,"IOO8896",4,1,2018-02-13 16:15:31,2018-02-13 20:30:31,85.00,"normal(20kW)","card",10.90,bev,NULL
19,"IOK6523",14,4,2018-09-17 17:57:49,2018-09-17 18:47:49,41.85,"fast(50kW)","card",6.50,bev,4
62,"ZPP5665",6,2,2018-08-20 21:37:00,2018-08-21 01:17:00,73.60,"normal(20kW)","card",9.16,bev,NULL
93,"ZTO1645",20,5,2018-11-30 23:54:00,2018-12-01 01:11:00,64.40,"fast(50kW)","card",9.79,bev,4
74,"ZEH3972",7,2,2018-07-05 03:27:45,2018-07-05 05:25:45,39.45,"normal(20kW)","card",4.99,bev,NULL
35,"IHA5721",19,5,2018-10-09 14:02:07,2018-10-09 19:02:07,100.00,"normal(20kW)","card",12.94,bev,NULL
9,"IYX1897",12,3,2018-11-03 07:27:45,2018-11-03 11:12:45,75.33,"normal(20kW)","card",9.37,bev,2
75,"III9582",10,3,2018-05-30 21:02:06,2018-05-31 01:10:06,82.80,"normal(20kW)","card",10.35,bev,5
96,"IOO8896",19,5,2018-05-11 13:51:42,2018-05-11 15:33:42,85.00,"fast(50kW)","card",13.20,bev,4
63,"IOK6523",19,5,2018-06-28 11:04:18,2018-06-28 13:34:18,50.22,"normal(20kW)","card",6.50,bev,5
37,"IHO9592",15,4,2018-11-03 11:28:53,2018-11-03 13:58:53,50.22,"normal(20kW)","card",6.23,bev,NULL
61,"ZHN8664",2,1,2018-07-15 01:39:35,2018-07-15 05:24:35,75.33,"normal(20kW)","card",9.15,bev,NULL
35,"IHA5721",2,1,2018-06-03 14:53:41,2018-06-03 16:05:41,60.00,"fast(50kW)","card",8.75,bev,5
60,"ZMA6229",12,3,2018-10-05 12:01:27,2018-10-05 14:20:27,46.40,"normal(20kW)","card",5.77,bev,NULL
20,"IYI7188",20,5,2018-06-21 05:11:58,2018-06-21 08:06:58,58.59,"normal(20kW)","card",7.42,bev,NULL
66,"ZKB5316",14,4,2018-04-01 12:17:00,2018-04-01 16:25:00,82.80,"normal(20kW)","card",10.71,bev,4
33,"IXX9849",3,1,2018-06-17 18:24:48,2018-06-17 19:54:48,75.33,"fast(50kW)","card",11.75,bev,2
68,"ZTK3647",18,5,2018-03-11 12:10:31,2018-03-11 13:07:31,47.52,"fast(50kW)","card",6.93,bev,NULL
83,"ZBN8963",18,5,2018-12-14 11:04:26,2018-12-14 14:13:26,63.00,"normal(20kW)","card",7.65,bev,5
21,"IPA3793",14,4,2018-09-13 13:37:51,2018-09-13 15:59:51,47.34,"normal(20kW)","card",6.13,bev,5
61,"ZMA6229",2,1,2018-03-23 14:28:35,2018-03-23 15:16:35,40.60,"fast(50kW)","card",5.92,bev,1
61,"ZHN8664",16,4,2018-10-03 21:22:47,2018-10-03 22:42:47,66.96,"fast(50kW)","card",10.04,bev,4
28,"ZNM4272",18,5,2018-05-20 00:06:56,2018-05-20 01:41:56,79.20,"fast(50kW)","card",11.55,bev,NULL
43,"IPA4613",16,4,2018-04-12 16:11:36,2018-04-12 18:09:36,39.45,"normal(20kW)","card",4.93,bev,1
74,"ZEH3972",15,4,2018-08-25 00:55:05,2018-08-25 02:29:05,78.90,"fast(50kW)","card",11.75,bev,5
78,"ZKO9198",14,4,2018-04-09 23:36:22,2018-04-10 00:42:22,55.20,"fast(50kW)","card",8.57,bev,NULL
27,"ZZN1567",10,3,2018-02-15 08:36:57,2018-02-15 10:09:57,77.85,"fast(50kW)","card",11.68,bev,NULL
38,"ZBN8963",10,3,2018-11-29 12:26:14,2018-11-29 15:35:14,63.00,"normal(20kW)","card",7.88,bev,NULL
89,"ZHT3445",16,4,2018-01-26 11:26:01,2018-01-26 12:36:01,58.80,"fast(50kW)","card",8.82,bev,4
13,"IMN9279",7,2,2018-05-02 07:42:23,2018-05-02 08:44:23,51.90,"fast(50kW)","card",7.88,bev,NULL
73,"ITK8995",16,4,2018-03-27 05:54:10,2018-03-27 09:24:10,70.00,"normal(20kW)","card",8.75,bev,NULL
22,"ZPP5665",15,4,2018-12-11 19:19:05,2018-12-11 20:25:05,55.20,"fast(50kW)","card",8.22,bev,NULL
59,"ZYM4945",6,2,2018-10-07 03:22:33,2018-10-07 06:52:33,70.00,"normal(20kW)","card",8.71,bev,NULL
6,"IEA3797",10,3,2018-08-07 12:24:29,2018-08-07 16:09:29,75.33,"normal(20kW)","card",9.42,bev,NULL
58,"IBK8636",13,4,2018-03-22 11:00:59,2018-03-22 14:00:59,60.00,"normal(20kW)","card",7.80,bev,NULL
100,"ZIY8333",6,2,2018-02-13 23:09:15,2018-02-14 00:44:15,79.20,"fast(50kW)","card",11.82,bev,5
72,"IEZ6922",1,1,2018-06-12 23:39:33,2018-06-13 01:09:33,75.33,"fast(50kW)","card",11.30,bev,NULL
23,"INX7759",4,1,2018-12-16 05:14:31,2018-12-16 06:16:31,51.90,"fast(50kW)","card",7.98,bev,2
94,"ZMH4368",19,5,2018-05-08 04:44:01,2018-05-08 06:53:01,43.25,"normal(20kW)","card",5.60,bev,NULL
84,"IXK4217",1,1,2018-02-09 19:23:21,2018-02-09 20:37:21,62.00,"fast(50kW)","card",9.30,bev,NULL
39,"IYE6331",9,3,2018-11-30 13:22:12,2018-11-30 14:43:12,68.00,"fast(50kW)","card",10.34,bev,NULL
12,"IMN9279",17,5,2018-04-12 00:54:42,2018-04-12 02:06:42,60.55,"fast(50kW)","card",9.19,bev,5
24,"IBN1216",14,4,2018-05-05 01:38:04,2018-05-05 02:15:04,31.00,"fast(50kW)","card",4.81,bev,NULL
12,"IZT9712",19,5,2018-07-30 19:45:25,2018-07-30 20:43:25,49.00,"fast(50kW)","card",7.61,bev,2
26,"ZPH8993",2,1,2018-02-24 16:48:37,2018-02-24 17:55:37,56.00,"fast(50kW)","card",8.16,bev,5
51,"IMA8414",13,4,2018-01-17 00:55:02,2018-01-17 03:14:02,46.40,"normal(20kW)","card",6.03,bev,2
4,"ZAP7398",6,2,2018-04-23 05:58:17,2018-04-23 06:48:17,42.00,"fast(50kW)","card",6.27,bev,3
8,"IKB2184",16,4,2018-05-16 09:12:36,2018-05-16 11:42:36,50.22,"normal(20kW)","card",6.28,bev,NULL
51,"IMA8414",18,5,2018-08-07 04:41:51,2018-08-07 06:08:51,29.00,"normal(20kW)","card",3.52,bev,5
18,"ZOT9399",17,5,2018-03-16 13:53:23,2018-03-16 14:53:23,50.40,"fast(50kW)","card",7.65,bev,NULL
54,"ZXZ5659",17,5,2018-04-02 20:18:23,2018-04-03 00:33:23,85.00,"normal(20kW)","card",10.75,bev,3
87,"IYI7188",14,4,2018-01-27 15:38:11,2018-01-27 17:43:11,41.85,"normal(20kW)","card",5.42,bev,NULL
73,"ITK8995",10,3,2018-03-28 06:01:07,2018-03-28 08:01:07,100.00,"fast(50kW)","card",15.00,bev,1
61,"ZHN8664",16,4,2018-11-08 14:30:17,2018-11-08 18:15:17,75.33,"normal(20kW)","card",9.42,bev,NULL
74,"ZEH3972",16,4,2018-12-15 11:06:40,2018-12-15 12:12:40,55.23,"fast(50kW)","card",8.28,bev,4
1,"ZXY1274",14,4,2018-02-03 07:07:22,2018-02-03 08:50:22,86.50,"fast(50kW)","card",13.43,bev,1
36,"INM2554",19,5,2018-11-19 02:47:56,2018-11-19 06:47:56,80.00,"normal(20kW)","card",10.35,bev,5
40,"ZXP5492",15,4,2018-08-16 15:43:28,2018-08-16 18:05:28,47.52,"normal(20kW)","card",5.90,bev,5
28,"ZNM4272",16,4,2018-12-29 01:00:14,2018-12-29 02:35:14,79.20,"fast(50kW)","card",11.88,bev,1
57,"ZPN3781",17,5,2018-11-29 18:31:51,2018-11-29 22:42:51,84.00,"normal(20kW)","card",10.63,bev,NULL
59,"ZYM4945",13,4,2018-01-18 23:42:43,2018-01-19 02:29:43,56.00,"normal(20kW)","card",7.28,bev,NULL
62,"ZPP5665",20,5,2018-04-29 01:02:54,2018-04-29 05:37:54,92.00,"normal(20kW)","card",11.66,bev,1
83,"ZBN8963",13,4,2018-06-09 12:53:24,2018-06-09 14:16:24,70.00,"fast(50kW)","card",10.92,bev,NULL
54,"ZXZ5659",2,1,2018-07-30 22:29:54,2018-07-30 23:20:54,42.50,"fast(50kW)","card",6.20,bev,1
87,"IYI7188",2,1,2018-06-14 17:23:52,2018-06-14 20:18:52,58.59,"normal(20kW)","card",7.12,bev,NULL
2,"ZYE1564",16,4,2018-02-15 10:23:52,2018-02-15 12:03:52,84.00,"fast(50kW)","card",12.60,bev,1
84,"ZXP5492",17,5,2018-11-04 16:11:12,2018-11-04 17:36:12,71.28,"fast(50kW)","card",10.82,bev,NULL
12,"IZT9712",12,3,2018-03-13 23:28:38,2018-03-14 01:55:38,49.00,"normal(20kW)","card",6.10,bev,1
24,"IBN1216",13,4,2018-05-24 14:33:41,2018-05-24 16:43:41,43.40,"normal(20kW)","card",5.64,bev,5
33,"IXX9849",17,5,2018-02-04 21:32:59,2018-02-05 01:43:59,83.70,"normal(20kW)","card",10.59,bev,NULL
61,"ZMA6229",20,5,2018-10-27 06:32:04,2018-10-27 08:16:04,34.80,"normal(20kW)","card",4.41,bev,4
92,"IIT6735",6,2,2018-04-03 03:03:40,2018-04-03 07:14:40,84.00,"normal(20kW)","card",10.45,bev,NULL
93,"ZHT3445",1,1,2018-10-15 19:01:10,2018-10-15 21:06:10,42.00,"normal(20kW)","card",5.25,bev,NULL
5,"IEA3797",10,3,2018-11-09 16:23:46,2018-11-09 17:43:46,66.96,"fast(50kW)","card",10.04,bev,NULL
